,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
117,April,26,2003,2025,45.2,2009,حرس حدود الجزيرة,Al Jazeera B.G. ,8.8,2019,ركنة,Raknah,17.1,2023,كلباء,Kalba,7,23,85,2010,جبل مبرح,Mebreh Mountain
118,April,27,2003,2025,46.6,2025,الطويين, Tawiyen,11.9,2013,جبل جيس, Jais  Mountain,27.8,2013,سويحان,Sweihan ,8,23,74,2010,جبل مبرح,Mebreh Mountain
119,April,28,2003,2025,45.9,2025,مزيرعة,Mezaira ,12.9,2013,جبل جيس, Jais  Mountain,27.7,2021,دبا,Dibba ,9,23,96,2010,جبل مبرح,Mebreh Mountain
120,April,29,2003,2025,46,2025,الشوامخ, Al Shawamekh ,11.7,2011,ركنة,Raknah ,39.9,2024,مسافي,Masafi,8,23,80,2020,مطار العين,Al Ain Airport 
121,April,30,2003,2025,46.9,2012,الرويس,Al-Ruwais,12.7,2013,جبل جيس, Jais  Mountain,28.2,2013,ضدنا,Dhudna ,9,23,76,2022,مطار الفجيرة,Fujairah Airport
122,May,1,2003,2025,46.2,2025,سويحان, Sweihan,12.9,2011,ركنة,Raknah ,34.5,2024,بدع مبارك_منطقة الظفرة, Bada Mubarak_Al Dhafra Region ,7,23,100,2024,مطار زايد,Zayed  Airport
123,May,2,2003,2025,46.2,2025,سويحان, Sweihan,11.5,2024,جبل جيس, Jais  Mountain,62.4,2024,بوحصا,Buhasa,5,23,93,2024,برج أدنوك ,ADNOC Tower
124,May,3,2003,2025,46.3,2012,سويحان, Sweihan,11.1,2024,جبل جيس, Jais  Mountain,7.1,2021,ضدنا,Dhudnah ,8,23,91,2010-2023,"جبل مبرح، تل السراب","Mebreh Mountain, Tal Al Sarab"
125,May,4,2003,2025,47,2012,الياسات,Yasat,12.3,2023,ركنة,Raknah,37,2021,ضدنا,Dhudnah ,6,23,101,2010,جبل مبرح,Mebreh Mountain
126,May,5,2003,2025,47.2,2025,بدع دعفس,Bada Dafas,13.2,2021-2023,"جبل جيس، دمثة","Jais  Mountain, Damtha",12.6,2017,وادي الطوى,Wadi Al Tuwa ,8,23,89,2013,الجلاع,Alqlaa 
127,May,6,2003,2025,46.8,2012,مزيرعة,Mezaira ,10.8,2005-2005,"جبل جيس، جبل مبرح","Jais  Mountain, Jabal Mebreh",1.4,2008,أم القيوين,Umm Al Quwain ,5,23,117,2010,جبل مبرح,Mebreh Mountain
128,May,7,2003,2025,47.9,2012,سويحان, Sweihan,9,2005,جبل جيس,Jais  Mountain,0.1,2024-2024,"راس غميس، مكاسب","Ras Ghumais, Makassib",4,23,89,2010,جبل مبرح,Mebreh Mountain
129,May,8,2003,2025,48.1,2018,مزيرعة,Mezaira,12.9,2005,ركنة,Raknah,9.8,2021,مزيد,Mezyed,4,23,100,2010,جبل مبرح,Mebreh Mountain
130,May,9,2003,2025,47.1,2018,الرويس,Al-Ruwais,12.1,2025,ركنة,Raknah ,4.8,2012,مسافي,Masafi ,6,23,96,2010,جبل مبرح,Mebreh Mountain
131,May,10,2003,2025,46.6,2009,أم الزمول,Um Azimul ,14.5,2020,ركنة,Raknah ,6,2012,خطم الشكلة,Khatam Al Shaklah ,5,23,71,2024,قرنين,Qarnen 
132,May,11,2003,2025,46.9,2009-2019,"مدينة زايد، مزيرعة","Madinat Zayed, Mezaira",13.5,2024,ركنة,Raknah,11.2,2017,وادي الطوى,Wadi Al Tuwa ,5,23,67,2008,مطار دبي ,Dubai Airport
133,May,12,2003,2025,47.8,2011,الياسات,Yasat,15.4,2022,ركنة,Raknah,31,2017,جبل الحبن,Al Heben Mountain,2,23,78,2022,قرنين,Qarnen 
134,May,13,2003,2025,47.4,2016,مزيرعة,Mezaira,13.7,2020,ركنة,Raknah ,18.6,2017,مطار الفجيرة,Fujairah  Airport ,3,23,70,2018-2019,"مطار رأس الخيمة، مطار الفجيرة","Ras Al Khaimah Airport, Fujairah Airport"
135,May,14,2003,2025,48.1,2011,الياسات,Yasat ,13.1,2020,ركنة,Raknah ,0.4,2017,القوع,Alquaa ,4,23,96,2022,قرنين,Qarnen 
136,May,15,2003,2025,47.1,2008,حرس حدود الجزيرة,Al Jazeera B.G. ,12.9,2022,ركنة,Raknah,0.4,2021,القور,Al Qor ,3,23,78,2010,جبل مبرح,Mebreh Mountain
137,May,16,2003,2025,47,2015,فلج المعلا,Falaj Al Moalla ,12.6,2014,جبل جيس,Jais  Mountain,9.3,2019,مسافي,Masafi ,4,23,98,2010,جبل مبرح,Mebreh Mountain
138,May,17,2003,2025,46.8,2013,مزيرعة,Mezaira ,14.5,2017,دمثة,Damtha ,2,2018,جبل مبرح,Mebreh Mountain,4,23,72,2025,مطار الفجيرة,Fujairah Airport
139,May,18,2003,2025,47.3,2012,الرويس,Al-Ruwais,14.3,2019,الحبن,  Al Heben,53.8,2019,الفرفار,Al FarFar,3,23,74,2009,مطار الفجيرة,Fujairah Airport
140,May,19,2003,2025,48,2011-2011-2012,"الطويين، المنامة، سيح السلم","Tayiwen, Manama, Saih Al Salem",15,2004-2015,"ركنة، ركنة","Raknah, Raknah ",60,2019,الخزنة,Alkhazna ,3,23,75,2004,مدينة زايد,Madinat Zayed
141,May,20,2003,2025,49.4,2011,سيح السلم,Saih Al Salem ,14.6,2013-2024,"ركنة، ركنة","Raknah, Raknah ",14.8,2019,الفرفار,Al FarFar,5,23,93,2023,قرنين,Qarnen 
142,May,21,2003,2025,49,2025,مخيرز, Mukhariz,15,2019,جبل جيس,Jais  Mountain,4.3,2023,الطويلة,Taweela ,2,23,77,2010,جبل مبرح,Mebreh Mountain
143,May,22,2003,2025,49.6,2021,سويحان, Sweihan,15.8,2023,جبل جيس,Jais  Mountain,5.1,2023,قرنين,Qarnen,1,23,74,2010,جبل مبرح,Mebreh Mountain
144,May,23,2003,2025,50.4,2025,الشوامخ,Al Shawamekh,15,2008,ركنة,Raknah ,2.8,2020,مزيد,Mezyed ,4,23,76,2006,جبل مبرح,Mebreh Mountain
145,May,24,2003,2025,51.6,2025,سويحان, Sweihan,15.6,2019,ركنة,Raknah,15,2020,الذيد,Al Dhaid ,3,23,91,2020,مطار آل مكتوم,Al Maktoum Airport
146,May,25,2003,2025,49.8,2025,مزيرعة,Mezaira ,16.4,2006,ركنة,Raknah ,58.6,2020,سيح السلم,Saih Al Salem ,5,23,94,2024,تل السراب,Tal Al Sarab
147,May,26,2003,2025,49.7,2021,بدع دعفس,Bada Dafas ,14.7,2003,ركنة,Raknah,45.4,2020,وادي الطوى,Wadi Al Tuwa ,4,23,74,2022,مطار الفجيرة,Fujairah Airport
148,May,27,2003,2025,49.8,2009,حرس حدود الجزيرة, Al Jazeera B.G. ,15.6,2016,ركنة,Raknah ,27.4,2018,الفوعة,Alfoah ,3,23,72,2015,مطار الفجيرة,Fujairah Airport
149,May,28,2003,2025,49.2,2009,حرس حدود الجزيرة, Al Jazeera B.G. ,15.2,2016,ركنة,Raknah ,1.2,2019,ميناء خورفكان,Khor Fakkan Port,2,23,67,2011,مطار دبي,Dubai Airport
150,May,29,2003,2025,49.5,2009,أم الزمول,Um Azimul ,16.5,2015,ركنة,Raknah ,2.4,2011,سويحان,Sweihan ,3,23,67,2004-2024,"مطار العين، قرنين","Al Ain Airport, Qarnen"
151,May,30,2003,2025,50,2025,سويحان, Sweihan,17.8,2005,جبل جيس,Jais  Mountain,0.7,2020,أم غافة ,Um Ghafa ,4,23,67,2016,مطار الفجيرة,Fujairah Airport
152,May,31,2003,2025,50.2,2009-2009,"أم الزمول، مطار الفجيرة","Um Azimul, Fujairah Airport ",15.5,2003,ركنة,Raknah,-,-,-,-,1,23,78,2016,جبل مبرح,Mebreh Mountain
153,June,1,2003,2025,50.4,2024,سويحان,Sweihan,14.1,2004,ركنة,Raknah  ,-,-,-,-,0,23,82,2016,جبل مبرح,Mebreh Mountain
154,June,2,2003,2025,50.8,2018,مزيرعة,Mezaira,15.7,2016,جبل مبرح,Jabal Mebreh  ,1.2,2010,ركنة,Raknah,2,23,99,2010,جبل مبرح,Mebreh Mountain
155,June,3,2003,2025,50.7,2015,سويحان,Sweihan,17.1,2016,ركنة,Raknah  ,2,2006,سويحان,Sweihan,2,23,125,2010,جبل مبرح,Mebreh Mountain
156,June,4,2003,2025,51,2021,الحفار,Al Haffar  ,17,2010,أم غافة,Um Ghafa  ,0.01,2008,مطار الفجيرة,Fujairah Airport ,3,23,121,2010,جبل مبرح,Mebreh Mountain
157,June,5,2003,2025,50.2,2021,الحفار,Al Haffar  ,17.6,2009,ركنة,Raknah  ,25.8,2015,خطم الشكلة,khatam Al Shaklah ,4,23,75,2007,الحبن,Al Heben
158,June,6,2003,2025,51.8,2021,الحفار,Al Haffar  ,16.6,2025,ركنة,Raknah  ,1.4,2015,مزيد,Mezyed ,6,23,74,2007,الحبن,Al Heben
159,June,7,2003,2025,50,2019,مزيرعة,Mezaira  ,16.4,2007,جبل جيس,Jabal Jais  ,12.2,2006,الفوعة,Alfoah,9,23,74,2020,الشويب,Al Shiweb
160,June,8,2003,2025,51,2018,مزيرعة,Mezaira ,17.7,2007,جبل جيس,Jabal Jais  ,14.2,2025,وادي الطوى,Wadi Al Tuwa,7,23,74,2006,أم الزمول,Um Azimul
161,June,9,2003,2025,51.6,2019,مزيرعة,Mezaira  ,19.7,2025,جبل جيس,Jabal Jais  ,9.2,2024,خطم الشكلة,khatam Al Shaklah ,6,23,77,2020,مرغم,Margham
162,June,10,2003,2025,50.5,2019,مزيرعة,Mezaira ,14.8,2004,ركنة,Raknah  ,13.8,2020,مزيد,Mezyed ,5,23,84,2024,الهير,Al Hayer
163,June,11,2003,2025,51.8,2019,مزيرعة,Mezaira  ,18.5,2003,ركنة,Raknah  ,-,-,-,-,2,23,69,2018,الفرفار,Al Farfar
164,June,12,2003,2025,50.6,2019,الحفار,Al Haffar  ,17.1,2005,جبل جيس,Jabal Jais  ,3.8,2005,خطم الشكلة,Khatam Al Shaklah,4,23,82,2022,جبل جيس,Jais Mountain
165,June,13,2003,2025,50.1,2025,سويحان, Sweihan,17.3,2022,جبل جيس,Jabal Jais  ,19.4,2005,الفقع,Al Faqa ,3,23,89,2022,جبل جيس,Jais Mountain
166,June,14,2003,2025,50.9,2010,سويحان,Sweihan,18.1,2016,ركنة,Raknah  ,3.2,2022,العين,Al Ain ,3,23,74,2023,تل السراب,Tal Al Sarab
167,June,15,2003,2025,50.8,2017,مدينة زايد,Madinat Zayed ,17.8,2004,ركنة,Raknah ,0.4,2015,الشويب,Al Shiweb,4,23,70,2009,مطار دبي ,Dubai Airport
168,June,16,2003,2025,51.5,2017,مزيرعة,Mezaira  ,17.9,2014,ركنة,Raknah  ,1.6,2015,خطم الشكلة,Khatam Al Shaklah ,4,23,82,2023,تل السراب,Tal Al Sarab
169,June,17,2003,2025,52,2010,الياسات,Yasat  ,18.6,2004,ركنة,Raknah  ,0.3,2024,أبو قرين ,Abu Qrayn,2,23,70,2023,تل السراب,Tal Al Sarab
170,June,18,2003,2025,49.8,2017-2022-2022,"أم الزمول، سويحان، جامعة الإمارات","Um Azimul, Sweihan, UAE University ",18.5,2004,ركنة,Raknah  ,2,2016,ركنة,Raknah,3,23,77,2021,قرنين,Qarnen
171,June,19,2003,2025,50.3,2024,الروضة,Rowdah,17.6,2004,ركنة,Raknah  ,20.1,2021,مزيد,Mezyed ,2,23,98,2023,مرغم ,Margham
172,June,20,2003,2025,49.8,2022,حميم,Hamim,19.9,2013,جبل جيس,Jabal Jais  ,4,2021,الخريمة_منطقة الظفرة, Al Khurimah_Al Dhafra Area,5,23,82,2019,قرنين,Qarnen
173,June,21,2003,2025,50.7,2022,بدع دعفس,Bada Dafas,19.4,2009,جبل جيس,Jabal Jais  ,15.4,2006,الشويب,Al Shiweb ,2,23,104,2019,مطار دبي ,Dubai Airport
174,June,22,2003,2025,50.8,2024,سويحان,Sweihan,19.1,2013,جبل مبرح,Jabal Mebreh,44,2007,وتييد,Owtaid ,6,23,104,2006,مطار العين,Al Ain Airport
175,June,23,2003,2025,51.7,2024,سويحان,Sweihan,19.7,2010,أم غافة,Um Ghafa ,0.7,2024,خطم الشكلة,Khatam Al Shaklah ,4,23,83,2015,مطار الفجيرة,Fujairah Airport
176,June,24,2003,2025,51.7,2024,سويحان,Sweihan,18.7,2010,دمثة,Damtha  ,9.2,2007,مزيد,Mezyed ,7,23,85,2023,تل السراب,Tal Al Sarab
177,June,25,2003,2025,50.3,2024,أم الزمول,Um Azimul ,20.5,2025,ركنة,Raknah  ,13,2007,الفوعة,Alfoah,3,23,85,2007,مطار العين,Al Ain Airport
178,June,26,2003,2025,49.5,2016,سيح السلم,Saih Al Salem ,19.5,2015,جبل مبرح,Jabal Mebreh,4.8,2020,العين,Al Ain ,5,23,75,2015-2024,"جبل مبرح، تل السراب","Mebreh Mountain, Tal Al Sarab"
179,June,27,2003,2025,50.1,2014,مخيرز,Mukhariz  ,18.7,2015,جبل جيس,Jabal Jais  ,1.4,2014,العرجان,Arjan,3,23,73,2015,جبل مبرح,Mebreh Mountain
180,June,28,2003,2025,50.6,2008,مزيرعة,Mezaira  ,19.1,2015,جبل جيس,Jabal Jais  ,3,2016,مطار آل مكتوم ,Al Maktoum Airport,5,23,85,2005,مطار العين,Al Ain Airport
181,June,29,2003,2025,51.4,2019,مزيرعة,Mezaira  ,19,2004,ركنة,Raknah  ,14.4,2020,خطم الشكلة,Khatam Al Shaklah ,4,23,70,2004,مطار العين,Al Ain Airport
182,June,30,2003,2025,51.2,2019,مزيرعة,Mezaira  ,19.5,2004,ركنة,Raknah ,8,2020,المنامة,Manama,5,23,70,2006,مطار العين,Al Ain Airport
183,July,1,2003,2025,50.3,2019,مزيرعة, Mezaira,17.9,2004,ركنة, Raknah ,36.8,2020,مزيد,Mezyed ,3,23,68,2020,جبل حفيت,Jabal Hafeet 
184,July,2,2003,2025,51.3,2017,سويحان,Sweihan,19.5,2006,جبل مبرح,  Jabel Mebreh ,-,-,-,-,0,23,80,2023,تل السراب,Tal Al Sarab
185,July,3,2003,2025,51,2017,مزيرعة, Mezaira,19.7,2005,ركنة, Raknah,4.6,2014,وادي الطوى,Wadi Al Tuwa ,4,23,88,2024,تل السراب,Tal Al Sarab
186,July,4,2003,2025,50.6,2017,مزيرعة, Mezaira,19.5,2008,ركنة,  Raknah,34.8,2014,المليحة,Al Melaiha,6,23,85,2014,المليحة,Al Malaiha
187,July,5,2003,2025,51,2020,مزيرعة, Mezaira,19.3,2022,جبل جيس, Jabel Jais ,67.8,2022,خطم الشكلة,Khatam Al Shaklah ,5,23,130,2022,مطار العين,Al Ain Airport 
188,July,6,2003,2025,51.2,2017-2017,"مزيرعة، سويحان "," Mezaira, Sweihan",17.9,2011,جبل جيس,  Jabel Jais,15.1,2022,الشوامخ,Al Shawamekh,9,23,85,2018,مطار دبي,Dubai Airport 
189,July,7,2003,2025,50.6,2020,مزيرعة, Mezaira,20.4,2020-2022,"ركنة، جبل مبرح"," Raknah, Jabal Mebreh",26,2018,الفوعة,Al Foah ,10,23,106,2013,مطار العين,Al Ain Airport 
190,July,8,2003,2025,51.1,2020,مزيرعة,Mezaira,18.3,2022,جبل جيس,  Jabel Jais,12.2,2022,خطم الشكلة,Khatam Al Shaklah ,7,23,115,2010,مطار العين,Al Ain Airport 
191,July,9,2003,2025,50.8,2024-2024,"الشوامخ، سويحان","Al Shawamekh, Sweihan ",21.1,2022,جبل جيس, Jabel Jais,17.6,2020,مزيد,Mezyed ,8,23,75,2019,جبل حفيت,Jabal Hafeet 
192,July,10,2003,2025,51.2,2013-2017,"الرويس، مزيرعة","  Al-Ruwais, Mezaira",19.6,2022,جبل جيس, Jabel Jais,4.8,2011,مزيد,Mezyed ,9,23,113,2005,مطار العين,Al Ain Airport 
193,July,11,2003,2025,51.5,2018,مزيرعة, Mezaira,18.8,2022,جبل جيس, Jabel Jais,11,2011,أم غافة,Um Ghafa ,5,23,80,2004,المليحة,Al Malaiha 
194,July,12,2003,2025,51,2018,مزيرعة,Mezaira  ,20.8,2022,جبل جيس, Jabel Jais,3.7,2020,مزيد,Mezyed ,6,23,63,2003,أم الزمول,Um Azimul 
195,July,13,2003,2025,50.6,2024-2024,"حرس حدود الجزيرة، مزيرعة","Al Jazeera B.G., Mezaira",21.8,2022,جبل جيس,  Jabal Jais ,3.5,2020,خطم الشكلة,Khatam Al Shaklah ,7,23,80,2020,مطار العين,Al Ain Airport 
196,July,14,2003,2025,51,2018,مزيرعة, Mezaira,21.5,2021,جبل جيس, Jabel Jais,14.8,2005,حرس حدود الجزيرة,Al Jazeera B.G ,11,23,111,2016,مطار العين,Al Ain Airport 
197,July,15,2003,2025,50.7,2016-2016,"مخيرز، سويحان "," Mukhariz, Sweihan",18.6,2021,جبل جيس,  Jabel Jais ,24.4,2017,المنامة,Manama ,6,23,94,2022,فلج المعلا,Falaj Al Moalla 
198,July,16,2003,2025,50.8,2010,حرس حدود الجزيرة, Al Jazeera B.G. ,18.8,2021,جبل جيس, Jabel Jais ,32.4,2021,وادي الطوى,Wadi Al Tuwa ,9,23,95,2024,أم الزمول,Um Azimul 
199,July,17,2003,2025,50.8,2010,سويحان , Sweihan ,18.4,2021,جبل جيس,  Jabel Jais ,46.8,2021,حتا,Hatta ,11,23,88,2021,جبل مبرح,Jabal Mebreh 
200,July,18,2003,2025,51,2013,الرويس,Al-Ruwais,17.8,2021,جبل جيس,  Jabel Jais,56.2,2016,الفقع,Al Faqa ,11,23,105,2016,خطم الشكلة,Khatam Al Shaklah
201,July,19,2003,2025,50.2,2010,سويحان, Sweihan,20.1,2021,جبل جيس,  Jabel Jais,61.8,2019,الفوعة,Al Foah ,9,23,76,2022,أم الزمول,Um Azimul
202,July,20,2003,2025,50.5,2012,سويحان, Sweihan ,20.6,2003,جبل جيس, Jabel Jais,11.8,2019,العراد,Al Arad,7,23,71,2019,العراد,Alarad 
203,July,21,2003,2025,50,2011,الرويس,Al-Ruwais,21.3,2019,الحبن,  Al Heben,60.6,2021,الظفرة,Al Dhafrah ,11,23,93,2020,مطار العين,Al Ain Airport 
204,July,22,2003,2025,49.6,2025,مزيرعة, Mezaira,19.9,2003,جبل جيس,Jabel Jais,15.8,2013,الروضة,Rowdah,10,23,120,2013,مطار العين,Al Ain Airport 
205,July,23,2003,2025,50,2016,مزيرعة, Mezaira ,18.7,2020,جبل الحبن, Jabal Mebreh,30.8,2013,القوع,Al Quaa ,9,23,65,2014,جبل حفيت,Jabal Hafeet 
206,July,24,2003,2025,49.2,2016,مدينة زايد, Madinat Zayed ,19.5,2016,جبل الحبن,  Jabel Mebreh,56.6,2003,الفوعة,Al Foah ,12,23,85,2003,مطار العين,Al Ain Airport 
207,July,25,2003,2025,49.9,2011,سيح السلم, Saih Al Salem ,20.4,2022,جبل جيس,  Jabel Jais ,13.4,2025,الهير,Al Hayer,9,23,81,2025,الهير,Al Hayer
208,July,26,2003,2025,49.9,2025,سويحان, Sweihan ,19.2,2022,جبل جيس,Jabel Jais,17.8,2022,مطار الفجيرة,Al Fujairah Airport,7,23,69,2025,خطم الشكلة,Khatam Al Shaklah
209,July,27,2003,2025,49.8,2006,أم الزمول,Um Azimul ,16.9,2022,جبل جيس,  Jabel Jais,220.9,2022,ميناء الفجيرة,Fujairah Port,9,23,83,2012,مطار آل مكتوم ,Al Maktoum Airport 
210,July,28,2003,2025,50.9,2021,بدع دعفس, Bada Dafas,18.0,2022,جبل جيس,  Jabel Jais,89.6,2022,مسافي,Masafi,10,23,73,2024,تل السراب,Tal Al Sarab
211,July,29,2003,2025,50.8,2025,بدع دعفس, Bada Dafas,17.8,2022,جبل مبرح,  Jabel Mebreh,11.8,2015,حرس حدود الجزيرة,Al Jazeera B.G ,10,23,68,2003,حميم,Hamim 
212,July,30,2003,2025,51.8,2017,مزيرعة, Mezaira,19.3,2003,جبل جيس,Jabel Jais,34.8,2008,الفقع,Al Faqa ,9,23,96,2008,مطار العين,Al Ain Airport 
213,July,31,2003,2025,51,2020,الوثبة,Al Wathbah,18.1,2006,جبل جيس,  Jabel Jais,49.2,2003,ضدنا,Dhudnah,10,23,76,2020,مطار العين,Al Ain Airport 
214,August,1,2003,2025,51.8,2025,سويحان,Sweihan,19.9,2003,جبل جيس,Jabal Jais ,8.6,2022,القور,Al Qor ,11,23,94,2010,مطار العين,Al Ain Airport 
215,August,2,2003,2025,51.1,2020,مزيرعة, Mezaira,21.1,2021,دمثة,Damtha ,24.2,2017,حرس حدود الجزيرة,Al Jazeera B.G.   ,11,23,81,2010,مطار العين,Al Ain Airport 
216,August,3,2003,2025,50.7,2020,مزيرعة, Mezaira,19,2003,جبل جيس,Jabal Jais ,19.6,2022,الصاع,Al Saa,11,23,102,2022,مطار العين,Al Ain Airport 
217,August,4,2003,2025,50.9,2016,مخيرز, Mukhariz,16.1,2013,جبل مبرح,Jabal Mebreh ,35.4,2023,الهير,Al Hayer,10,23,128,2023,الهير,Al Hayer
218,August,5,2003,2025,50.1,2011,الرويس,Al-Ruwais,18,2013,جبل جيس,Jabal Jais ,20.6,2016,الفوعة,Al Foah ,12,23,104,2007,مطار العين,Al Ain Airport 
219,August,6,2003,2025,51,2017,مزيرعة, Mezaira,18.3,2008,جبل جيس,Jabal Jais ,37.5,2024,مزيد,Mezyed ,15,23,77,2010,الحبن,Al Heben 
220,August,7,2003,2025,50.1,2017,مزيرعة, Mezaira,17.8,2008,جبل جيس,Jabal Jais ,33.6,2012,جبل حفيت,Jabel Hafeet ,13,23,83,2012,مطار العين,Al Ain Airport 
221,August,8,2003,2025,51.4,2017,مزيرعة, Mezaira,19.2,2013,جبل مبرح,Jabal Mebreh ,16,2006,أم الزمول,Um Azimul  ,12,23,98,2018,مطار العين,Al Ain Airport 
222,August,9,2003,2025,51,2022,سويحان,Sweihan,19.5,2006,جبل جيس,Jabal Jais ,19.4,2008,مزيد,Mezyed ,12,23,81,2005,القوع,Alquaa
223,August,10,2003,2025,50.7,2017,مزيرعة, Mezaira,20.5,2014,جبل مبرح,Jabal Mebreh ,54.2,2008,الفقع,Al Faqa ,13,23,98,2008,مطار العين,Al Ain Airport 
224,August,11,2003,2025,49.8,2015-2022,"سويحان، سويحان","Sweihan, Sweihan",22.2,2013,جبل جيس,Jabal Jais ,24.6,2023,خطم الشكلة,Khatam Al Shaklah,12,23,93,2023,الصاع,Saa
225,August,12,2003,2025,50.8,2021,سويحان,Sweihan,19,2009,جبل جيس,Jabal Jais ,32.8,2013,حميم,Hamim ,9,23,93,2023,حرس حدود الجزيرة ,Al Jazeera B.G. 
226,August,13,2003,2025,50.7,2021,سويحان,Sweihan,21.6,2004,ركنة,Raknah ,11.2,2016,الشويب,Al Shiweb ,8,23,84,2016,شوكة,Shoukah 
227,August,14,2003,2025,49.8,2019,مزيرعة, Mezaira,22.6,2009,جبل جيس,Jabal Jais ,67.4,2013,حميم,Hamim ,11,23,93,2013,مخيرز,Mukhariz 
228,August,15,2003,2025,49.6,2014,سويحان,Sweihan,21.8,2005,ركنة,Raknah ,40.2,2013,مزيد,Mezyed ,13,23,91,2017,مطار العين,Al Ain Int'l Airport 
229,August,16,2003,2025,50.9,2014,سيح السلم,Saih Al Salem ,20.4,2009,جبل مبرح,Jabal Mebreh ,20,2013,سويحان,Sweihan,15,23,78,2007,الشويب,Al Shiweb 
230,August,17,2003,2025,49.9,2018,مزيرعة, Mezaira,18.7,2009,جبل جيس,Jabal Jais ,17.2,2014,خطم الشكلة,Khatam Al Shaklah ,16,23,89,2006,مطار العين,Al Ain Airport 
231,August,18,2003,2025,49,2005,حرس حدود الجزيرة,Al Jazeera B.G. ,20.1,2024,جبل جيس,Jabal Jais ,10.6,2015-2016,"الفقع، جسيورة","Al Faqa, Qasyoura ",13,23,80,2024,مطار رأس الخيمة,Ras Al Khaimah Airport
232,August,19,2003,2025,50.4,2017,مزيرعة, Mezaira,18.7,2024,جبل جيس,Jabal Jais ,16.6,2023,خطم الشكلة,Khatam Al Shaklah,15,23,107,2017,مطار العين,Al Ain  Airport 
233,August,20,2003,2025,49.3,2022,سويحان,Sweihan,21.7,2024,جبل مبرح,Jabal Mebreh,15,2011,حرس حدود الجزيرة,Al Jazeera B.G. ,11,23,71,2011,حرس حدود الجزيرة ,Al Jazeera B.G. 
234,August,21,2003,2025,50.2,2012,سويحان,Sweihan,19.4,2024,جبل مبرح,Jabal Mebreh,5.3,2025,أم الزمول,Um Azimul,8,23,66,2025,أم الزمول,Um Azimul
235,August,22,2003,2025,49.8,2012,سويحان,Sweihan,21.1,2009,جبل جيس,Jabal Jais ,1.2,2021, القوع, Al quaa ,7,23,65,2016,الشويب,Al Shiweb 
236,August,23,2003,2025,49.6,2018,مزيرعة, Mezaira,18.1,2007,جبل مبرح,Jabal Mebreh,21.8,2019,المليحة,Al Malaiha ,8,23,100,2019,مطار دبي,Dubai Airport 
237,August,24,2003,2025,49.2,2009,حرس حدود الجزيرة,Al Jazeera B.G. ,20.1,2012,جبل مبرح,Jabal Mebreh ,10.2,2024,الخريمة_منطقة الظفرة, Al Khurimah_Al Dhafra Area,12,23,72,2016,مطار العين,Al Ain Airport 
238,August,25,2003,2025,50.3,2023,الذيد,Al Dhaid,20.8,2022,ركنة,Raknah ,25,2006,العين,Al Ain ,12,23,98,2006,مطار العين,Al Ain  Airport 
239,August,26,2003,2025,50.8,2023,وتييد,Owtaid,19.2,2020,جبل جيس,Jabal Jais ,7.4,2008,الفقع,Al Faqa ,11,23,67,2010,مطار دبي,Dubai  Airport 
240,August,27,2003,2025,50.7,2024,سويحان,Sweihan,21.1,2020,الحبن,Al Heben ,16.3,2020,جبل حفيت,Jabal Hafeet ,10,23,70,2017,سويحان,Swiehan 
241,August,28,2003,2025,50.2,2015,سويحان,Sweihan,19.6,2013,جبل مبرح,Jabal Mebreh,10.2,2020,الروضة,Rowdah,8,23,84,2023,الحبن,Al Heben 
242,August,29,2003,2025,50,2024,سويحان,Sweihan,21.5,2019,ركنة,Raknah ,22.9,2020,حرس حدود الجزيرة,Al Jazeera B.G.,10,23,87,2020,حرس حدود الجزيرة ,Al Jazeera B.G. 
243,August,30,2003,2025,49.5,2019,الحفار,Al Haffar ,20.1,2014-2019,"جبل جيس، ركنة","Jabal Jais, Raknah ",41.6,2014,مسافي,Masafi ,9,23,72,2020,مخيرز,Mukhariz 
244,August,31,2003,2025,50,2019,سويحان,Sweihan,20.4,2014,جبل جيس,Jabal Jais ,53.8,2011,وتييد,Owtaid,8,23,64,2024,جبل الرحبة,Jabal Al Rahba
245,September,1,2003,2025,49.1,2016,مخيرز, Mukhariz ,20.1,2024,جبل مبرح,Jabal Mebreh ,27.2,2014,مسافي,Masafi ,12,23,80,2011,مطار العين,Al Ain Airport
246,September,2,2003,2025,49.4,2019-2019,"سيح السلم، سويحان"," Saih Al Salem, Sweihan ",20.3,2023,جبل مبرح,Jabal Mebreh ,24.6,2008,الروضة,Rowdah,10,23,109,2008,مطار العين,Al Ain Airport
247,September,3,2003,2025,50.6,2016,مخيرز, Mukhariz ,20.2,2008,جبل جيس,Jabal Jais ,25.4,2012,مزيرعة,Mezaira ,9,23,78,2006,مطار العين,Al Ain Airport
