,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
28,January,28,2003,2025,32.9,2019,أبو الأبيض, Abu Al Abyad ,0.7,2009,جبل جيس,Jais Mountain,32.4,2011,مسافي,Masafi ,9,23,94,2011,مطار دبي,Dubai Airport
29,January,29,2003,2025,32.4,2003,حميم, Hamim ,-0.2,2016,جبل جيس,Jais Mountain,1.6,2003,ضدنا,Dhudna ,4,23,67,2004,أبو البخوش,Abu Al Bukhoosh
30,January,30,2003,2025,33.2,2024,أم الزمول,Um Azimul ,-0.3,2016,جبل جيس,Jais Mountain,8.6,2003,ضدنا,Dhudna ,6,23,77,2010,جبل مبرح,Mebreh Mountain
31,January,31,2003,2025,33.8,2024,أم الزمول,Um Azimul ,2.5,2018,جبل جيس,Jais Mountain,7.4,2025,ميناء صقر,Saqr Port,6,23,78,2010,جبل مبرح,Mebreh Mountain
32,February,1,2003,2025,35.6,2024,وتييد,Owtaid,-1.1,2008,جبل جيس,Jais Mountain,8.4,2024,برج خليفة ,Burj Khalifah ,10,23,111,2008,مطار الفجيرة,Fujairah Airport
33,February,2,2003,2025,33.9,2019,الرويس,Al-Ruwais ,-1.1,2008,جبل جيس,Jais Mountain,30,2017,جبل مبرح, Mebreh Mountain,10,23,81,2024,قرنين,Qarnen 
34,February,3,2003,2025,36,2014,أم الزمول, Um Azimul ,-5.7,2017,جبل جيس,Jais Mountain,60.8,2019,الفقع,Al Faqa,9,23,88,2017,أبو البخوش,Abu Al Bukhoosh
35,February,4,2003,2025,34.9,2014,وتييد,Owtaid,-3,2017,جبل جيس,Jais Mountain,14.8,2007,جبل مبرح, Mebreh Mountain,9,23,79,2014,جبل حفيت,Hafeet Mountain
36,February,5,2003,2025,32.8,2022,بدع دعفس,Bada Dafas ,-2.7,2008,جبل جيس,Jais Mountain,6.6,2007,جبل مبرح, Mebreh Mountain,5,23,77,2010,جبل مبرح,Mebreh Mountain
37,February,6,2003,2025,33.3,2011,أم غافة,Um Ghafa ,-2,2008,جبل جيس,Jais Mountain,10.6,2010,جبل مبرح, Mebreh Mountain,7,23,76,2024,مطار الفجيرة,Fujairah Airport
38,February,7,2003,2025,36.5,2007,حرس حدود الجزيرة, Al Jazeera B.G. ,0.6,2008,ركنة, Raknah ,26.2,2010,أم الزمول,Um Azimul  ,8,23,99,2010,جبل مبرح,Mebreh Mountain
39,February,8,2003,2025,36.1,2006,حرس حدود الجزيرة, Al Jazeera B.G. ,1.2,2008,ركنة, Raknah ,22.2,2007,جبل جيس, Jais Mountain,7,23,106,2010,جبل مبرح,Mebreh Mountain
40,February,9,2003,2025,36.3,2006,حرس حدود الجزيرة, Al Jazeera B.G. ,0.6,2011,جبل جيس,Jais Mountain,8.6,2014,مسافي,Masafi  ,4,23,73,2023,قرنين,Qarnen
41,February,10,2003,2025,34.7,2006,حميم, Hamim ,0.1,2005-2011,"جبل جيس، جبل جيس","Jabal Jais, Jabal Jais ",1.2,2017,مليون_منطقة الظفرة,Malyoon_Al Dhafra_Region,6,23,84,2023,قرنين,Qarnen
